,fragID,COMID,Dam_name,Purposes,Year_compl,Norm_stor,geometry,OBJECTID,Reachcode,streamorder,Coordinates,ID,Up,Down,length
0,CO00013,225789.0,HARRY DENNING IRRIGATION #3,I,1962.0,30.0,POINT (-104.5114409999999 40.03918000000004),1521161,10190003000749,1.0,"LINESTRING Z (-104.520929681536 40.0365090045221 0, -104.52048301487 40.036577204522 0, -104.517861414874 40.0375588711871 0, -104.515717281544 40.0379000711866 0, -104.512529881549 40.038949671185 0, -104.509402614887 40.0396102711838 0, -104.508449481555 40.0397006711837 0, -104.50755641489 40.0396768711839 0, -104.506395614892 40.0394926711841 0, -104.505502814893 40.0392400711845 0, -104.504461614895 40.0387584711853 0, -104.503866414896 40.0386204711854 0, -104.503032814897 40.0386196045187 0)",550126172.0,550201446.0000001,550100015.0,1.604
1,CO00054,226711.0,D.A. LORD #4,IS,0.0,1725.0,POINT (-104.4581949999999 40.08516900000006),1521819,10190003002364,3.0,"LINESTRING Z (-104.457836014967 40.0834058711159 0, -104.457840681634 40.0834292711159 0, -104.457871614967 40.0835836711157 0, -104.457902614967 40.0837380711155 0, -104.457933614967 40.0838926044485 0, -104.457964614967 40.0840470044483 0, -104.457995481634 40.0842014044481 0, -104.458026481633 40.0843558711144 0, -104.458057481634 40.0845102711142 0, -104.458088481633 40.084664671114 0, -104.458119414967 40.084819204447 0, -104.458150414967 40.0849736044468 0, -104.458181414967 40.0851280044466 0, -104.458245881633 40.0853184044464 0)",550042993.0000001,550044416.0000001,550041689.9999999,0.217
2,CO01106,226805.0,PROSPECT,I,1914.0,6368.0,POINT (-104.5087169999999 40.01780400000007),1521635,10190003001135,1.0,"LINESTRING Z (-104.508844281555 40.0177550045511 0, -104.508248681556 40.0179832045508 0, -104.506492214892 40.0182560045503 0, -104.504557414895 40.0183226045503 0, -104.503337414897 40.0181154045506 0, -104.501731481566 40.0173584712184 0, -104.500517081568 40.0170624712189 0, -104.499624214902 40.0170634045522 0, -104.498463281571 40.0169502712191 0, -104.497332614906 40.0171574712188 0, -104.494118281578 40.017229404552 0, -104.493225081579 40.0170930045521 0, -104.491437814915 40.0161336712204 0, -104.491199481582 40.0160882045537 0, -104.489089814919 40.0181270045506 0, -104.488732881586 40.0182188045504 0, -104.48834541492 40.0179446045508 0, -104.487897614921 40.0170754045521 0, -104.487688881588 40.0169154045525 0, -104.487391214921 40.0168928045525 0, -104.48602288159 40.0173060045518 0, -104.485457214924 40.0172150045519 0, -104.484622814926 40.0166436712196 0, -104.484503614926 40.0164836045531 0, -104.484441481593 40.0148588045556 0, -104.484351814926 40.0145614712229 0, -104.483487014927 40.0134638045578 0, -104.483128614928 40.012663204559 0, -104.483098014928 40.0121826045598 0, -104.483334681594 40.0112212712279 0, -104.483274614928 40.0109238712285 0, -104.483006481595 40.0106952712288 0, -104.48166641493 40.0101014712297 0, -104.48148741493 40.0098728045633 0, -104.481098814931 40.0087288045651 0, -104.480890281598 40.0086374712319 0, -104.480622481599 40.0086378045652 0, -104.480325081599 40.0087524712318 0, -104.479701014933 40.0093022712309 0, -104.479344014934 40.0094398712308 0, -104.479076014934 40.0093486045642 0, -104.478628681602 40.0087082045652 0, -104.477347214937 40.007519404567 0, -104.476841014938 40.0073138045674 0, -104.476483881605 40.007291271234 0, -104.476186481605 40.0074518045671 0, -104.475978681606 40.0077722712333 0, -104.475861081606 40.0087336045652 0, -104.475683214939 40.009237071231 0, -104.47520781494 40.0097638712302 0, -104.474791481607 40.0099930712298 0, -104.474285814942 40.0101308712296 0, -104.473779881609 40.0101312712297 0, -104.47321408161 40.0098800045634 0, -104.470531681614 40.0069988045678 0, -104.470203614948 40.0064498712354 0, -104.469994414948 40.0058092712364 0, -104.469190281616 40.0052378712373 0, -104.46915961495 40.0045742712383 0, -104.469931681615 40.0034064712401 0, -104.469930814948 40.002719871241 0, -104.469781281615 40.0022622712419 0, -104.469393814949 40.0017592045759 0)",550075101.9999999,550084955.9999999,550068063.0000001,5.449
3,,225523.0,,,,,,1520959,10190003000230,3.0,"LINESTRING Z (-104.410590281707 40.1729874043101 0, -104.410292015041 40.1730332709769 0, -104.409636015042 40.173582670976 0, -104.40898008171 40.1746584043077 0, -104.408294681711 40.1761688043053 0, -104.407698615045 40.1771530043038 0, -104.407131881713 40.1778624709693 0, -104.403284481719 40.1807696709649 0, -104.402419815053 40.1820284709628 0, -104.401793481721 40.1825092042954 0, -104.400898481722 40.1828754709614 0, -104.400272015057 40.1828528042949 0, -104.399675215057 40.1826926042951 0, -104.398809815059 40.1820292042962 0, -104.398033681727 40.1810454042977 0, -104.397228081728 40.1803818709654 0, -104.396303081729 40.179992870966 0, -104.39579588173 40.179992870966 0, -104.395229081731 40.1801760709657 0, -104.394960681731 40.1804964709652 0, -104.394871281732 40.1807482042982 0, -104.394841681732 40.1818238042964 0, -104.394483815065 40.1823044042957 0, -104.393946881733 40.1826706042953 0, -104.392186681736 40.183220070961 0, -104.39167961507 40.1835404709605 0, -104.39153041507 40.1838380042934 0, -104.391560281737 40.1840896709596 0, -104.39185881507 40.1843642042926 0, -104.392724015068 40.1847074709587 0, -104.392694281735 40.1849590709584 0, -104.392396015069 40.185371204291 0, -104.392455681735 40.1856456709573 0, -104.393112481734 40.1867670042889 0, -104.393232081734 40.1880942042868 0, -104.392665215068 40.1888952042855 0, -104.392008881736 40.1894672709512 0, -104.390308281739 40.1904286042831 0, -104.389741415073 40.1908634709492 0, -104.389473015073 40.1912754042818 0, -104.389353615073 40.191664470948 0, -104.389085215074 40.1920306042807 0, -104.388757081741 40.1922824042801 0, -104.388339215075 40.19241980428 0, -104.386966681744 40.1926944042796 0, -104.386847415077 40.1928088709462 0)",550037589.0,550038487.0000001,550036753.9999999,3.946
4,,225587.0,,,,,,1520960,10190003000231,3.0,"LINESTRING Z (-104.450976681645 40.113196204403 0, -104.450441281645 40.1141118710682 0, -104.44948861498 40.1151422043999 0, -104.448476681648 40.1166074043977 0, -104.448120881649 40.1183468043951 0, -104.447972014982 40.1185756710613 0, -104.447138214984 40.1191940710604 0, -104.446602281651 40.1200640043924 0, -104.446244881652 40.1202472710588 0, -104.443473481656 40.1210498710575 0, -104.442579614991 40.1214394043902 0, -104.441596814992 40.1223782043888 0, -104.439304014996 40.1249882043846 0, -104.438797614997 40.1254690710506 0, -104.437993214998 40.126087404383 0, -104.436861015 40.1267516043819 0, -104.435728681668 40.1273014043812 0, -104.435490415002 40.1275990043806 0, -104.435193281669 40.1287662043787 0, -104.43468728167 40.129704671044 0, -104.434837215003 40.1306428710426 0, -104.435076281669 40.1312378043751 0, -104.435046881669 40.1318098710407 0, -104.434243615004 40.133869804371 0, -104.433678215005 40.1351288043689 0, -104.433321815005 40.1367308043664 0, -104.432488081673 40.1381042043643 0, -104.431892215007 40.1387680710299 0, -104.431505415008 40.1398210043617 0, -104.431477881675 40.1425898710241 0, -104.431895881674 40.1433448710228 0, -104.433178815005 40.1443054043548 0, -104.433447481672 40.144717204354 0, -104.433478215005 40.145838471019 0, -104.433627681671 40.1462732710183 0, -104.43446328167 40.147165271017 0, -104.434553215003 40.1475770710163 0, -104.43422568167 40.1481036710154 0, -104.433659281671 40.1483098043486 0, -104.432705081673 40.1484476043482 0, -104.432287815007 40.1486538043479 0, -104.432079281674 40.1490200710141 0, -104.432139281674 40.1493632710136 0, -104.432706281673 40.1498664043461 0, -104.433273015005 40.1501406710124 0, -104.433183881672 40.1504154043453 0, -104.432528615006 40.1513768043437 0, -104.431842881674 40.1518118710098 0, -104.430620615009 40.1522014710092 0, -104.43014341501 40.1521332043425 0, -104.429815081677 40.1517670710098 0, -104.429307881678 40.1514928043435 0, -104.428920281679 40.1515386710103 0, -104.428741481679 40.1516532043433 0, -104.428622415013 40.1519508043429 0, -104.428682615012 40.1527516710083 0, -104.42835488168 40.1532552043408 0, -104.42805688168 40.1534154710073 0, -104.427669081681 40.1533242043407 0, -104.426505415016 40.1524780043421 0, -104.426207081683 40.1524552710088 0, -104.425789815017 40.1526614043418 0, -104.425492081684 40.1534166043405 0, -104.425522615017 40.1543776710057 0, -104.425642081684 40.1548124710051 0, -104.425672415017 40.1555218710039 0, -104.425136215018 40.156368804336 0, -104.424510081686 40.1567122710022 0, -104.423108815021 40.1572620710014 0, -104.42188648169 40.1581092710001 0, -104.421260415024 40.1582926043331 0, -104.419739281693 40.158361804333 0, -104.419113081694 40.1585678709993 0, -104.417026281697 40.1599186709972 0, -104.415893081699 40.1604226043298 0, -104.413268681703 40.1608810709956 0, -104.412851281704 40.1610414043287 0, -104.412553215038 40.1612702709951 0, -104.412225415038 40.1619112043273 0, -104.412166015038 40.1625062043265 0, -104.411987215038 40.1628036709927 0, -104.411182281706 40.163467604325 0, -104.41103321504 40.1637650709912 0, -104.41106341504 40.1643370709903 0, -104.411152881706 40.16449727099 0, -104.41118321504 40.1651838043224 0, -104.41103421504 40.1655728709884 0, -104.410467681707 40.1662596043207 0, -104.410467881707 40.1667858709865 0, -104.411542415039 40.1681586709844 0, -104.411632215039 40.1685248043171 0, -104.411811215039 40.1687306709834 0, -104.411900815039 40.1690968043163 0, -104.412438281704 40.1700348709813 0, -104.412438681704 40.1709502043133 0, -104.411753215039 40.171865804312 0, -104.410679681707 40.1728500043105 0, -104.410590281707 40.1729874043101 0)",550038487.0000001,550039449.9999999,550037589.0,9.125
5,,225615.0,,,,,,1520961,10190003000232,3.0,"LINESTRING Z (-104.456021481637 40.0940160044327 0, -104.456112081637 40.0950684710978 0, -104.456500081636 40.0956404044304 0, -104.457514414968 40.0966236710954 0, -104.458200814967 40.0976758710938 0, -104.459126814965 40.0995288710909 0, -104.459336214965 40.1001694710898 0, -104.459516414965 40.101336471088 0, -104.459519814964 40.1041282710838 0, -104.459759214964 40.1049060710826 0, -104.460057614964 40.1052034710822 0, -104.46059428163 40.1054090044151 0, -104.460803214963 40.1056148044149 0, -104.460773681629 40.1059810044143 0, -104.46053568163 40.1062328710805 0, -104.459642614964 40.1070574044126 0, -104.459494014965 40.1074006710787 0, -104.459435081631 40.1080414710777 0, -104.459137614965 40.1084764710771 0, -104.457886814967 40.109301204409 0, -104.457053081635 40.1099424710748 0, -104.456635814969 40.1099200044082 0, -104.45615841497 40.1093710710756 0, -104.455681081637 40.1089822710761 0, -104.455293481638 40.1088682710765 0, -104.454280214973 40.1088918044098 0, -104.453416081641 40.1090984044093 0, -104.452850214975 40.1093962044089 0, -104.452433414976 40.1097854710749 0, -104.452225414976 40.1103578044074 0, -104.451899214976 40.1118454044051 0, -104.451631414977 40.1123262044044 0, -104.451035881644 40.1127842044036 0, -104.450976681645 40.113196204403 0)",550039449.9999999,550040521.0,550038487.0000001,2.908
6,,225643.0,,,,,,1520962,10190003000232,3.0,"LINESTRING Z (-104.458245881633 40.0853184044464 0, -104.458097281633 40.0857074711124 0, -104.458128214967 40.0866686711109 0, -104.457890081634 40.0869206044437 0, -104.457473281634 40.0871040044435 0, -104.456520014969 40.0872648044433 0, -104.455149681638 40.0873572044431 0)",550041689.9999999,550042993.0000001,550040521.0,0.427
7,,226887.0,,,,,,1520963,10190003000232,3.0,"LINESTRING Z (-104.455149681638 40.0873572044431 0, -104.454785481639 40.0876092711093 0, -104.456021481637 40.0940160044327 0)",550040521.0,550041689.9999999,550039449.9999999,0.767
8,,225733.0,,,,,,1520964,10190003000234,3.0,"LINESTRING Z (-104.462730481626 40.0504852711671 0, -104.462374281627 40.0514010044989 0, -104.462047814961 40.0523166044975 0, -104.460976814962 40.0531870044962 0, -104.460917481629 40.0533472044959 0, -104.460203414963 40.0538740711618 0, -104.459608081631 40.0540804044948 0, -104.457136681635 40.0543338711611 0, -104.455975681637 40.054609404494 0, -104.455707881637 40.0548156044936 0, -104.455678481637 40.0551816711597 0, -104.456542614969 40.0555930044924 0, -104.457466814968 40.0563704044912 0, -104.458152681633 40.0571938044899 0, -104.458093614967 40.0575828044894 0, -104.457885414967 40.0578118044889 0, -104.456873414969 40.0582930711549 0, -104.456695081636 40.0586364711544 0, -104.456666081636 40.0592542711535 0, -104.456845214969 40.0595974711529 0, -104.456816014969 40.0601008711521 0, -104.456399814969 40.0607420044845 0, -104.455060814971 40.0617270044829 0, -104.455001481638 40.0619788044825 0, -104.455568014971 40.0625276711482 0, -104.455508814971 40.0628022711479 0, -104.455241014971 40.0630084044809 0, -104.454615414972 40.0629172711478 0, -104.452173681643 40.0633764711471 0, -104.451965414976 40.0635368711467 0, -104.451965681643 40.0638114711463 0, -104.452561681642 40.0642000711458 0, -104.452593081642 40.0656648044769 0, -104.452862214975 40.0666486711419 0, -104.452803814975 40.0675640044739 0, -104.452268481643 40.0683652711392 0, -104.451941081643 40.0686400711389 0, -104.451643414977 40.0687546711385 0, -104.451286014977 40.0687320711386 0, -104.450928281645 40.0685034711391 0, -104.450689814978 40.0682290044728 0, -104.450153281646 40.0679318711399 0, -104.448932081648 40.0679326044734 0, -104.448723681648 40.0680930044731 0, -104.448753881648 40.0685048711391 0, -104.449977414979 40.0705408044693 0, -104.450573814978 40.0712726711348 0, -104.450693414978 40.0715472044676 0, -104.450664014978 40.0718904711339 0, -104.450425814979 40.0721194711335 0, -104.449979414979 40.0723258044665 0, -104.44989021498 40.0725088711328 0, -104.449920214979 40.0727148044658 0, -104.450158614979 40.0728976711323 0, -104.451827081643 40.0731940711318 0, -104.452363614976 40.0734912711313 0, -104.452870614975 40.0740172711305 0, -104.452930614975 40.0744290711299 0)",550046027.0000001,550062788.0,550044416.0000001,4.162
9,,225907.0,,,,,,1520965,10190003000235,2.0,"LINESTRING Z (-104.468918081617 40.0020798712421 0, -104.46897781495 40.0022172045752 0, -104.468979081617 40.0032012712404 0, -104.46859321495 40.0039110712393 0, -104.466512214954 40.0053772712371 0, -104.466096214954 40.0058582045696 0, -104.465858814955 40.0063390045688 0, -104.465533214955 40.0077808712333 0, -104.465564481622 40.0089250712315 0, -104.466132081621 40.0105266045624 0, -104.466310881621 40.0107552712287 0, -104.46690968162 40.013340804558 0, -104.46697188162 40.0153316045549 0, -104.467241014952 40.0163840045533 0, -104.467182481619 40.0170936712188 0, -104.46685608162 40.017894804551 0, -104.465935281621 40.0193372712153 0, -104.464954681623 40.0206194712134 0, -104.464776681623 40.021031604546 0, -104.464958014956 40.0231368045427 0, -104.465286681622 40.0240976712079 0, -104.466359881621 40.0253098045394 0, -104.46644988162 40.0258130712053 0, -104.466242614954 40.0266600045372 0, -104.466392281621 40.0272548712031 0, -104.466541614954 40.0275522045359 0, -104.467733481618 40.0286268712009 0, -104.468002281618 40.0291988712001 0, -104.468092414951 40.0298624045324 0, -104.468003814951 40.0303202045317 0, -104.467736414952 40.0307322711977 0, -104.466606614954 40.031785871196 0, -104.465624881622 40.0323358045285 0, -104.464494214957 40.0327716045278 0, -104.464196881624 40.0330692711941 0, -104.463989081624 40.0334584711934 0, -104.464139281624 40.034556804525 0, -104.464856014956 40.0362496711891 0, -104.465452681622 40.0371874711877 0, -104.465453681622 40.0379884045198 0, -104.464978414956 40.038789671185 0, -104.465068481623 40.0393616711842 0, -104.466082281621 40.0406424711822 0, -104.466172214954 40.0410772045149 0, -104.465815614955 40.0416038045141 0, -104.465667414955 40.0420616045134 0, -104.465728281622 40.0431142711784 0, -104.464925614956 40.0440302711771 0, -104.464539681623 40.0449688711755 0, -104.464421414957 40.045564004508 0, -104.464213281624 40.0458386711743 0, -104.463945481624 40.045953271174 0, -104.463082081626 40.0460456045071 0, -104.462993214959 40.0463202045068 0, -104.463708614958 40.0470062045058 0, -104.463858014958 40.0473950711718 0, -104.463829281625 40.0481732045039 0, -104.463502814958 40.0490200711693 0, -104.462789614959 40.0501648711676 0, -104.462730481626 40.0504852711671 0)",550062788.0,550068063.0000001,550046027.0000001,6.03
10,,226895.0,,,,,,1520966,10190003000235,2.0,"LINESTRING Z (-104.469393814949 40.0017592045759 0, -104.468918081617 40.0020798712421 0)",550068063.0000001,550075107.9999999,550062788.0,0.054
11,,229325.0,,,,,,1520967,10190003000237,2.0,"LINESTRING Z (-104.47524681494 39.9781994712792 0, -104.475547681606 39.9806936046087 0, -104.47548941494 39.9815634046074 0, -104.47537101494 39.9819296712734 0, -104.475133481607 39.9823188712729 0, -104.47516481494 39.983463071271 0, -104.475016281607 39.9836004712708 0, -104.474659681608 39.9838984046037 0, -104.473648881609 39.9843568712696 0, -104.473381614943 39.984723271269 0, -104.47341188161 39.9851580046017 0, -104.473561081609 39.9854554046013 0, -104.473531814943 39.9857756712674 0, -104.473472414943 39.9859130712672 0, -104.47302668161 39.9862566712667 0, -104.471897014945 39.9868068712659 0, -104.470738081614 39.9878376712643 0, -104.470322281614 39.9883872045968 0, -104.470233414948 39.988661871263 0, -104.470234081615 39.9892110712622 0, -104.470502681614 39.9898974045943 0, -104.470443681614 39.9902178712605 0, -104.470206081615 39.9905156045934 0, -104.469819481615 39.9906302712598 0, -104.46907581495 39.9907910712597 0, -104.468302881618 39.9912494045923 0, -104.467916281618 39.9913640712587 0, -104.467410481619 39.9913416045922 0, -104.46693408162 39.9910674045926 0, -104.466576814954 39.9909302712595 0)",550126137.0,550201265.9999999,550099998.0,1.93
