Hydroseq,COMMENT,NIDID,COMID,UNIQUE_STR,newX,step,newY,RecordID,Dam_name,Dam_former,STATEID,Section,County,River,City,Distance,Owner_name,Owner_type,Dam_type,Core,Foundation,Purposes,Year_compl,Year_modif,Dam_length,Dam_height,NID_height,Hazard,EAP,Inspection,Outlet_gat,Volume,State,Dam_Name2,Designer,Private,Str_Height,Hyd_Height,Max_Disch,Max_stor,NID_stor,Surf_area,Drain_area,Insp_Freq,St_reg,St_reg_ag,Spill_type,Num_locks,Len_locks,Wid_locks,Source,Condition,Cond_Date,Cond_desc,Spill_wid,geometry,DamID,Grand_flag,GRAND_ID,NABD_ID,LENGTHKM,REACHCODE,FTYPE,StartFlag,UpHydroseq,DnHydroseq,QC_MA,QE_MA,Norm_stor,DamCount
550037589.0,,,225523.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,3.946,10.0,StreamRiver,0.0,550038487.0,550036754.0,6.916,6.916,0.0,0
550038487.0,,,225587.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,9.125,10.0,StreamRiver,0.0,550039450.0,550037589.0,6.369,6.369,0.0,0
550039450.0,,,225615.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,2.908,10.0,StreamRiver,0.0,550040521.0,550038487.0,5.481,5.481,0.0,0
550041690.0,,,225643.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.427,10.0,StreamRiver,0.0,550042993.0,550040521.0,4.514,4.514,0.0,0
550040521.0,,,226887.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.767,10.0,Connector,0.0,550041690.0,550039450.0,4.535,4.535,0.0,0
550046027.0,,,225733.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,4.162,10.0,StreamRiver,0.0,550062788.0,550044416.0,4.099,4.099,0.0,0
550062788.0,,,225907.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,6.03,10.0,StreamRiver,0.0,550068063.0,550046027.0,3.142,3.142,0.0,0
550068063.0,,,226895.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.054,10.0,Connector,0.0,550075108.0,550062788.0,2.621,2.621,0.0,0
550126137.0,,,229325.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,1.93,10.0,StreamRiver,0.0,550201266.0,550099998.0,1.179,1.179,0.0,0
550201266.0,,,230583.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,9.912,10.0,StreamRiver,1.0,0.0,550126137.0,0.91,0.91,0.0,0
550126176.0,,,225525.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,1.462,10.0,StreamRiver,0.0,550201458.0,550037589.0,0.659,0.659,0.0,0
550201460.0,,,225515.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,2.436,10.0,StreamRiver,1.0,0.0,550126176.0,0.131,0.131,0.0,0
550201458.0,,,225527.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,4.059,10.0,StreamRiver,1.0,0.0,550126176.0,0.403,0.403,0.0,0
550201456.0,,,225591.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,2.739,10.0,StreamRiver,1.0,0.0,550038487.0,0.235,0.235,0.0,0
550047869.0,,,225747.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.975,10.0,StreamRiver,0.0,550049961.0,550046027.0,0.874,0.874,0.0,0
550049961.0,,,225739.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.103,10.0,StreamRiver,0.0,550052379.0,550047869.0,0.372,0.372,0.0,0
550058649.0,,,225767.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,1.602,10.0,StreamRiver,0.0,550062781.0,550055226.0,0.368,0.368,0.0,0
550052379.0,,,226745.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.161,10.0,ArtificialPath,0.0,550055226.0,550049961.0,0.371,0.371,0.0,0
550062781.0,,,226891.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.28,10.0,ArtificialPath,0.0,550075104.0,550058649.0,0.322,0.322,0.0,0
550055226.0,,,226747.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.02,10.0,ArtificialPath,0.0,550058649.0,550052379.0,0.369,0.369,0.0,0
550126171.0,,,225803.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.1,10.0,StreamRiver,0.0,550126708.0,550100012.0,0.139,0.139,0.0,0
550068064.0,,,226893.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.063,10.0,ArtificialPath,0.0,550075113.0,550062781.0,0.158,0.158,0.0,0
550075113.0,,,225795.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.226,10.0,StreamRiver,0.0,550084957.0,550068064.0,0.158,0.158,0.0,0
550126708.0,,,24847467.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.225,10.0,ArtificialPath,1.0,0.0,550126171.0,0.139,0.139,0.0,0
550084957.0,,,226771.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.236,10.0,ArtificialPath,0.0,550100012.0,550075113.0,0.154,0.154,0.0,0
550100012.0,,,226773.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.009,10.0,ArtificialPath,0.0,550126171.0,550084957.0,0.14,0.14,0.0,0
550126164.0,,,226547.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,2.383,10.0,StreamRiver,0.0,550201450.0,550100017.0,0.268,0.268,0.0,0
550201450.0,,,225711.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.938,10.0,StreamRiver,1.0,0.0,550126164.0,0.026,0.026,0.0,0
550084969.0,,,225749.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,2.144,10.0,StreamRiver,0.0,550100017.0,550047869.0,0.477,0.477,0.0,0
550100017.0,,,226743.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.34,10.0,ArtificialPath,0.0,550126164.0,550084969.0,0.298,0.298,0.0,0
550084968.0,,,225785.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.885,10.0,StreamRiver,0.0,550100015.0,550075104.0,0.181,0.181,0.0,0
550075104.0,,,226767.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.049,10.0,ArtificialPath,0.0,550084968.0,550062781.0,0.181,0.181,0.0,0
550100015.0,,,226753.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.364,10.0,ArtificialPath,0.0,550126172.0,550084968.0,0.158,0.158,0.0,0
550126172.0,1,CO00013,225789.0,3692,-104.511441,0.0,40.03918,5378.0,HARRY DENNING IRRIGATION #3,,010137,"S23 , T1N, R64W of Sixth PM",WELD,LOST CREEK-TR,KEENESBURG,5.0,GARY G. PESCHEL,P,RE,,,I,1962.0,,1680.0,14.0,27.0,L,NR,11/03/2004,,41078.0,CO,,USDA NRCS,N,27.0,23.0,310.0,50.0,50.0,5.0,0.65,6.0,Y,DWR,U,0.0,0.0,0.0,CO,POOR,11/03/2004,Deficiency Recognized,25.0,POINT (-104.5114409999999 40.03918000000004),3741.0,0.0,0.0,,1.604,10.0,StreamRiver,0.0,550201446.0,550100015.0,0.148,0.148,30.0,1
550201446.0,,,225797.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,2.037,10.0,StreamRiver,1.0,0.0,550126172.0,0.076,0.076,0.0,0
550084956.0,,,226783.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,1.959,10.0,ArtificialPath,0.0,550100024.0,550075102.0,0.947,0.947,0.0,0
550100024.0,,,225903.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.13,10.0,StreamRiver,0.0,550126166.0,550084956.0,0.525,0.525,0.0,0
550126166.0,,,225925.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.282,10.0,StreamRiver,0.0,550201393.0,550100024.0,0.524,0.524,0.0,0
550201393.0,,,229387.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,5.828,10.0,StreamRiver,1.0,0.0,550126166.0,0.516,0.516,0.0,0
550201267.0,,,230575.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,3.427,10.0,StreamRiver,1.0,0.0,550126137.0,0.227,0.227,0.0,0
550201398.0,,,229365.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,3.22,10.0,StreamRiver,1.0,0.0,550099998.0,0.268,0.268,0.0,0
550126175.0,,,225657.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.304,10.0,StreamRiver,0.0,550201451.0,550100019.0,0.378,0.378,0.0,0
550201451.0,,,225683.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,3.647,10.0,StreamRiver,1.0,0.0,550126175.0,0.35,0.35,0.0,0
550201454.0,,,225659.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,1.834,10.0,StreamRiver,1.0,0.0,550126175.0,0.037,0.037,0.0,0
550075102.0,1,CO01106,226805.0,4213,-104.508717,0.0,40.017804,6258.0,PROSPECT,,010505,"S26 , T1N, R64W of Sixth PM",WELD,LOST CREEK-TR,ROGGEN,11.0,HENRYLYN IRRIGATION DISTRICT,P,RE,,,I,1914.0,1999,5301.0,44.0,45.0,S,Y,06/13/2007,,75068.0,CO,,,N,45.0,44.0,14700.0,9299.0,9299.0,398.0,9.43,2.0,Y,DWR,U,0.0,0.0,0.0,CO,POOR,06/13/2007,Deficiency Recognized,250.0,POINT (-104.5087169999999 40.01780400000007),4259.0,0.0,0.0,,5.449,10.0,StreamRiver,0.0,550084956.0,550068063.0,1.34,1.34,6368.0,1
550075108.0,,,226549.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.486,10.0,StreamRiver,0.0,550084965.0,550068063.0,1.489,1.489,0.0,0
550099998.0,,,229303.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,1.179,10.0,StreamRiver,0.0,550126137.0,550084965.0,1.463,1.463,0.0,0
550084965.0,,,225923.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.364,10.0,CanalDitch,0.0,550099998.0,550075108.0,1.482,1.482,0.0,0
550042993.0,1,CO00054,226711.0,3698,-104.458195,0.0,40.085169,5414.0,D.A. LORD #4,,010419,"S5 , T1N, R63W of Sixth PM",WELD,LOST CREEK-TR,ROGGEN,8.0,HENRYLYN IRRIGATION DISTRICT,P,RE,,,IS,0.0,,2658.0,16.0,20.0,L,NR,07/20/2007,,81211.0,CO,"LORD, LORD RESERVOIR",,N,20.0,16.0,2580.0,2725.0,2725.0,200.0,57.8,6.0,Y,DWR,U,0.0,0.0,0.0,CO,SATISFACTORY,07/20/2007,Meets applicable hydrologic and seismic regulatory criteria,74.5,POINT (-104.4581949999999 40.08516900000006),3747.0,0.0,0.0,,0.217,10.0,ArtificialPath,0.0,550044416.0,550041690.0,4.509,4.509,1725.0,1
550100019.0,,,226715.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.306,10.0,ArtificialPath,0.0,550126175.0,550042993.0,0.385,0.385,0.0,0
550044416.0,,,226719.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,1.174,10.0,ArtificialPath,0.0,550046027.0,550042993.0,4.252,4.252,0.0,0
